temper,bias_qb,q_fall,qb_fall,q_rise,qb_rise,alter#
25.0000000,0.5500000,NaN,1.399960e-09,1.400254e-09,NaN,1.0000000
25.0000000,0.5510000,NaN,1.411731e-09,1.411852e-09,NaN,1.0000000
25.0000000,0.5520000,NaN,1.424130e-09,1.423787e-09,NaN,1.0000000
25.0000000,0.5530000,NaN,1.435207e-09,1.434638e-09,NaN,1.0000000
25.0000000,0.5540000,NaN,1.447014e-09,1.446142e-09,NaN,1.0000000
25.0000000,0.5550000,NaN,1.458373e-09,1.457207e-09,NaN,1.0000000
25.0000000,0.5560000,NaN,1.470762e-09,1.469232e-09,NaN,1.0000000
25.0000000,0.5570000,NaN,1.483723e-09,1.481962e-09,NaN,1.0000000
25.0000000,0.5580000,NaN,1.496989e-09,1.494948e-09,NaN,1.0000000
25.0000000,0.5590000,NaN,1.510357e-09,1.507981e-09,NaN,1.0000000
25.0000000,0.5600000,NaN,1.522551e-09,1.520083e-09,NaN,1.0000000
25.0000000,0.5610000,NaN,1.536724e-09,1.533931e-09,NaN,1.0000000
25.0000000,0.5620000,NaN,1.551384e-09,1.548512e-09,NaN,1.0000000
25.0000000,0.5630000,NaN,1.565644e-09,1.562430e-09,NaN,1.0000000
25.0000000,0.5640000,NaN,1.580307e-09,1.576874e-09,NaN,1.0000000
25.0000000,0.5650000,NaN,1.594775e-09,1.591102e-09,NaN,1.0000000
25.0000000,0.5660000,NaN,1.611035e-09,1.607083e-09,NaN,1.0000000
25.0000000,0.5670000,NaN,1.627040e-09,1.622933e-09,NaN,1.0000000
25.0000000,0.5680000,NaN,1.643593e-09,1.639395e-09,NaN,1.0000000
25.0000000,0.5690000,NaN,1.661499e-09,1.656992e-09,NaN,1.0000000
25.0000000,0.5700000,NaN,1.679669e-09,1.675062e-09,NaN,1.0000000
25.0000000,0.5710000,NaN,1.697178e-09,1.692289e-09,NaN,1.0000000
25.0000000,0.5720000,NaN,1.717290e-09,1.712450e-09,NaN,1.0000000
25.0000000,0.5730000,NaN,1.737266e-09,1.732103e-09,NaN,1.0000000
25.0000000,0.5740000,NaN,1.757353e-09,1.752070e-09,NaN,1.0000000
25.0000000,0.5750000,NaN,1.777872e-09,1.772301e-09,NaN,1.0000000
25.0000000,0.5760000,NaN,1.799738e-09,1.794108e-09,NaN,1.0000000
25.0000000,0.5770000,NaN,1.823230e-09,1.817524e-09,NaN,1.0000000
25.0000000,0.5780000,NaN,1.848956e-09,1.843236e-09,NaN,1.0000000
25.0000000,0.5790000,NaN,1.874570e-09,1.868441e-09,NaN,1.0000000
25.0000000,0.5800000,NaN,1.899287e-09,1.893110e-09,NaN,1.0000000
25.0000000,0.5810000,NaN,1.924278e-09,1.918123e-09,NaN,1.0000000
25.0000000,0.5820000,NaN,1.954298e-09,1.948055e-09,NaN,1.0000000
25.0000000,0.5830000,NaN,1.985314e-09,1.978878e-09,NaN,1.0000000
25.0000000,0.5840000,NaN,2.019562e-09,2.013035e-09,NaN,1.0000000
25.0000000,0.5850000,NaN,2.053069e-09,2.046473e-09,NaN,1.0000000
25.0000000,0.5860000,NaN,2.092058e-09,2.085307e-09,NaN,1.0000000
25.0000000,0.5870000,NaN,2.134022e-09,2.127213e-09,NaN,1.0000000
25.0000000,0.5880000,NaN,2.176709e-09,2.169916e-09,NaN,1.0000000
25.0000000,0.5890000,NaN,2.223914e-09,2.217155e-09,NaN,1.0000000
